record_id,race_year,race_round,session,race_key,snapshot_index,time_offset_ms,air_temp_c,track_temp_c,humidity_pct,pressure_mbar,wind_speed_ms,is_raining
a7eed26964bca8a2c82ff1b300a31e71d78ce662,2024,1,R,2024_1,129,7754283,17.9,22.2,50.0,1017.4,0.5,false
47e7c7b4feb42bfc60d2f925a69f28b776c29724,2024,1,FP1,2024_1,5,344894,19.6,36.0,38.0,1016.1,3.7,false
86304cd6c3c6ac47a5b57268ff3170d035af430d,2024,1,FP1,2024_1,8,524927,19.5,35.7,38.0,1016.1,3.3,false
50ef6cbcef81b15fcd70eccdd3dcbf29bf989e4c,2024,1,FP1,2024_1,25,1544995,19.8,34.8,38.0,1016.0,3.5,false
325e79b47e3b8d4932c36424e007c2fe7c05ed85,2024,1,FP1,2024_1,29,1785002,19.7,34.9,39.0,1016.2,2.7,false
15024e8ae9032ca68cda70a0ba29df0af35c3998,2024,1,FP1,2024_1,67,4065125,19.1,32.9,40.0,1016.0,3.9,false
8f56f2ddbf8b7b55be0c664fae0b7a528770e21b,2024,1,FP2,2024_1,32,1964762,17.2,22.3,41.0,1017.2,1.9,false
119bd06eb3a8d9569e9fb71043dd920abbdb65af,2024,1,FP2,2024_1,44,2684755,17.3,22.0,37.0,1017.3,2.5,false
92519121ca94fa7363a608b93449ea8df9626350,2024,1,FP2,2024_1,53,3224805,17.2,21.8,37.0,1017.3,1.8,false
33c6c5aae381d3ac3258c7266f7be50a2e7309ad,2024,1,FP2,2024_1,71,4304906,17.4,21.2,35.0,1017.4,1.8,false
48fb08d8699c09e0a869d79b0438d57ef8612a79,2024,1,FP2,2024_1,75,4544951,17.3,21.2,36.0,1017.4,3.0,false
e6ec58425b43df60577547a11cfcc57078e95a20,2024,1,FP3,2024_1,10,649903,20.4,34.1,32.0,1017.6,2.8,false
ad467a4a90a09cf9b62a9b9a00c9cdaa081eaa91,2024,1,FP3,2024_1,17,1069911,20.4,34.0,33.0,1017.6,2.3,false
06aa81060a965ed026fa0eb51d84580cc115b70e,2024,1,FP3,2024_1,21,1309901,20.4,33.6,34.0,1017.6,2.6,false
af6b73e36f8f8fe6b36d8e711539a4694bc73439,2024,1,FP3,2024_1,26,1609917,20.4,32.8,34.0,1017.7,4.0,false
9b023940f172fa3c64f7ea1b9041ada6a4febd2b,2024,1,FP3,2024_1,38,2329924,20.3,32.1,36.0,1017.8,3.4,false
56f5ad7a8fc2764952bff9f03b1199030fe4ebe4,2024,1,FP3,2024_1,41,2509956,20.3,31.9,36.0,1017.8,2.8,false
e046688461d903087eba55a9e23aff2f0bee24b2,2024,1,FP3,2024_1,52,3170044,20.2,31.2,38.0,1017.8,2.5,false
2b0a220b69077e7265b08136d9e6aa51379a4661,2024,1,Q,2024_1,3,195646,18.1,22.2,48.0,1018.8,2.4,false
e4a1773d3959263cd79ae55917b84bf6f0d0f783,2024,1,Q,2024_1,16,975671,18.1,21.8,48.0,1018.9,2.0,false
bd9cbb682d113b34acae831dd4b1c995d1c76bb2,2024,1,Q,2024_1,37,2235683,18.1,21.4,47.0,1019.1,2.4,false
e6a7d709e58d4f42e68ee5e14610274497ac53ae,2024,1,Q,2024_1,46,2775751,18.1,21.3,46.0,1019.1,1.7,false
4f80027567511b7d31a41d84977f72eb68e56b1e,2024,1,Q,2024_1,69,4155922,17.9,21.1,46.0,1019.3,1.1,false
2a8f27c62e339642cff66719c023199e0c8b50c7,2024,1,R,2024_1,0,14093,18.9,26.5,46.0,1017.1,0.9,false
83e2bc88b449a21d77936528a9d0c0031214f9a7,2024,1,R,2024_1,43,2594107,18.5,24.5,47.0,1017.1,1.5,false
3d98fd9e2bca0c333d2e36683f6636e05eb5145a,2024,1,R,2024_1,53,3194125,18.4,23.9,49.0,1017.0,1.8,false
64a3032ff01bbbbea78df206b622c82dff089ed1,2024,1,R,2024_1,64,3854121,18.3,23.8,49.0,1017.0,1.0,false
3f6238719ee366de8f7d7b679b38bb7c625c4a8b,2024,1,R,2024_1,72,4334127,18.2,23.7,50.0,1017.2,1.1,false
00531469ccda3ef411ccf9b61c71e5715fac7352,2024,1,R,2024_1,96,5774143,18.1,23.2,50.0,1017.1,0.9,false
c4c3134a9bdc6bd47b33e428c99ff7190672a830,2024,1,R,2024_1,132,7934323,17.9,22.1,50.0,1017.5,0.0,false
beae6afe269692f7ca5f867a369fff4cfa688d83,2024,1,R,2024_1,154,9254313,17.7,21.9,51.0,1017.5,0.4,false
4886aec8a5d2fe6c615b988fd6930d02fc3e599d,2024,1,FP1,2024_1,12,764943,19.5,35.9,38.0,1016.2,3.2,false
457dd8a17b62ab686dd27c501edb7144975a584a,2024,1,FP1,2024_1,15,944959,19.6,35.6,36.0,1016.1,3.7,false
ee4eb6421a1f3c3642853d079ca3502f6a9381b6,2024,1,FP1,2024_1,19,1184980,19.5,35.4,38.0,1016.2,2.6,false
d3ca88ddeb68f3eb453c6e7d37982be27067732d,2024,1,FP1,2024_1,20,1244973,19.5,35.4,37.0,1016.2,3.1,false
c3142a1a00c56dad8c2b9865e540ccd73ad211c8,2024,1,FP1,2024_1,34,2085032,19.5,34.8,40.0,1016.0,2.7,false
c0a48213f7a4d79522c1216ef9fabea2e2176045,2024,1,FP1,2024_1,42,2565033,19.2,34.1,40.0,1016.1,3.8,false
82d59d8a4af54567695dd3d538449bf15efd727f,2024,1,FP1,2024_1,54,3285123,19.4,33.6,40.0,1016.0,3.3,false
88d5f235eba41778112528fc6731b00bdae4e95f,2024,1,FP2,2024_1,7,464700,17.1,23.0,45.0,1017.0,2.0,false
ad74c0d33b7a0bf75bbe613749b09aa1224cbf51,2024,1,FP2,2024_1,21,1304751,17.2,22.7,41.0,1017.3,1.9,false
a778a295be1fdb2607c950c92d01787d5e300f4e,2024,1,FP2,2024_1,25,1544752,17.2,22.6,41.0,1017.2,2.3,false
3068b2f224a901a316431d5b0ada12bfc667cc16,2024,1,FP3,2024_1,2,169949,20.6,35.0,30.0,1017.6,2.8,false
