record_id,race_year,race_round,session,race_key,driver_id,lap_number,pit_in_ms,pit_out_ms,tire_compound_before
6600ab2465ecf9a8cf00f83bbe5dab6ee01a9d82,2024,1,R,2024_1,GAS,12,4796823,,SOFT
0b91ed77beb8afff381d11bd8d650e2953bc2591,2024,1,FP1,2024_1,ZHO,7,2363069,,MEDIUM
8f01053288c2559cb1f2d93bf5a3c716ae4fa267,2024,1,FP1,2024_1,ZHO,13,4132805,,SOFT
b10fe328e0d62f528a0bfa44332cc7a8daea63db,2024,1,FP2,2024_1,RUS,5,1804461,,SOFT
14123840720b5408a04693261ec8572a4d3d211f,2024,1,FP1,2024_1,OCO,21,4773318,,MEDIUM
df0fd80dcd43b79fba6ce6be845ae96d76b41665,2024,1,FP1,2024_1,STR,7,1985705,,MEDIUM
4c27a829e6a6f52c056fd7cbc166e1f73e0acd35,2024,1,Q,2024_1,NOR,3,1519957,,SOFT
e5eb3627917ad8b59008209355972cfeb1eca243,2024,1,FP1,2024_1,PER,15,3438861,,MEDIUM
fc17a5504e458b34a733ca4230d1b3de84f6005e,2024,1,FP1,2024_1,PER,24,4858922,,MEDIUM
e2c0902aefe162946691396503dab3a1d8003bda,2024,1,FP1,2024_1,VER,6,2005250,,MEDIUM
5b82429acde5c9a6a4d0c5231f0ddf263963b96f,2024,1,FP3,2024_1,STR,14,4201368,,SOFT
bb3231d7f963aa6c482e9894a891059a6bed2bdc,2024,1,Q,2024_1,RIC,6,2012998,,SOFT
